gene BB9 BB10 BB17 BB19 BB20 BB21 BB11 BB12 BB18
aaeA.t01	45.6132	57.7381	35.4817	71.4413	75.5846	59.6099	93.7032	78.2685	75.4577	933	65.8776
aaeB.t01	48.4527	42.2968	41.1391	44.0555	47.6292	51.5953	56.3065	69.1718	58.5695	1968	51.024
aaeR.t01	49.0572	53.1486	33.4681	55.6848	43.8708	64.5169	51.3741	77.9266	79.043	930	56.4545
aaeX.t01	66.7322	64.9632	64.3814	81.0705	52.586	69.0053	64.9201	69.2443	56.966	204	65.541
aas.t01	73.7846	77.6379	77.63	65.1203	64.7268	77.6184	77.5343	95.9067	93.9019	2160	78.2068
aat.t01	116.119	135.65	183.998	113.028	109.508	79.2153	48.9847	53.8376	56.5432	705	99.6538
abgA.t01	43.1262	42.3472	25.9374	24.9753	44.1331	41.9825	40.0243	48.9788	47.5166	1311	39.8913
abgB.t01	52.9248	49.887	37.8245	40.204	47.7964	43.0902	43.7074	55.8739	47.4726	1446	46.5312
abgR.t01	64.4247	55.9526	65.7116	57.8901	69.0677	74.5122	39.8356	59.9978	58.1246	909	60.613
abgT.t01	49.6757	48.1321	34.522	33.4765	40.3088	49.9477	40.4558	53.1916	42.0341	1527	43.5271
abrB.t01	51.072	47.2778	29.0407	30.6346	33.9294	36.2579	39.7088	45.3439	42.7197	1047	39.5539
accA.t01	117.086	140.957	203.529	127.553	137.758	90.7462	96.394	65.959	84.3146	960	118.255
accB.t01	516.09	531.256	944.268	283.744	280.408	148.703	232.776	121.529	209.435	471	363.134
accC.t01	696.703	800.509	1311.11	422.586	430.275	232.823	305.915	125.995	252.64	1350	508.729
accD.t01	116.41	131.292	171.657	136.747	90.5254	101.262	78.0496	70.9145	74.8746	915	107.97
aceA.t01	76.2173	66.6948	75.9642	1646.35	1460.26	710.353	622.329	166.296	631.636	1305	606.233
aceB.t01	343.891	269.683	359.943	9448.9	9868.33	4421.54	4390.55	980.386	3999.54	1602	3786.97
aceE.t01	575.971	571.925	988.993	386.846	396.943	204.048	338.461	138.245	370.539	2664	441.33
aceF.t01	211.661	203.364	336.26	174.467	154.123	91.1263	174.549	83.6734	192.735	1893	180.218
aceK.t01	58.1442	44.4163	47.9567	267.941	268.095	175.504	189.309	102.432	172.159	1737	147.328
ackA.t01	149.302	152.381	260.974	120.257	120.165	93.1336	81.0338	58.2514	81.0996	1203	124.066
acnA.t01	62.6735	63.7649	69.1826	641.249	681.102	350.168	175.66	64.9626	161.488	2676	252.25
acnB.t01	306.56	316.981	545.008	1257.86	1161.44	600.691	534.124	170.019	538.538	2598	603.469
acpH.t01	78.4958	83.8205	84.084	114.814	118.45	117.567	123.715	88.0623	95.1937	582	100.467
acpP.t01	18438.4	20257.6	37886.9	22522.7	23115	15339.5	17150	5001.44	12862.3	237	19174.9
acpS.t01	35.2478	37.6037	16.5276	23.2385	21.2326	25.7423	48.8405	45.055	35.8215	381	32.1455
acpT.t01	115.76	131.94	169.206	133.246	114.25	114.209	142.267	121.841	131.911	588	130.514
acrA.t01	201.17	222.525	343.406	259.396	263.203	176.558	132.892	96.0601	118.379	1194	201.51
acrB.t01	90.3276	93.7397	104.693	93.8686	95.1885	91.1732	77.9933	75.2501	75.4575	3150	88.6325
acrD.t01	59.6674	62.6635	50.3231	46.2431	49.0198	62.6953	50.1741	65.1049	54.5895	3114	55.609
acrE.t01	40.3515	27.6519	25.7909	24.8129	28.0953	38.462	37.3502	61.894	38.5082	1158	35.8797
acrF.t01	41.7302	32.8991	30.1307	33.4109	36.6449	39.391	48.5648	66.2826	47.1753	3105	41.8033
acrR.t01	351.179	395.32	698.559	695.802	703.175	612.009	346.408	163.873	297.575	648	473.767
acrS.t01	70.2932	72.8237	116.958	57.4486	64.9865	58.3021	131.989	81.7037	72.1501	663	80.7395
acrZ.t01	1142.22	1716.86	3396.8	2739.69	2676.61	2308.49	2681.71	1438.99	2230.52	150	2259.1
acs.t01	74.9381	70.9038	72.0946	877.483	846.9	548.658	903.844	249.382	787.526	1959	492.414
actP.t01	66.5246	56.9608	52.9932	132.024	138.131	97.7634	125.02	91.8087	120.551	1650	97.9752
acuI.t01	48.2396	44.1566	49.8226	64.2517	63.4905	60.7108	63.8758	56.7868	64.5846	975	57.3243
ada.t01	57.5789	47.0169	68.4184	68.8609	77.1149	83.858	64.1446	59.4848	76.7632	1065	67.0267
add.t01	65.0547	63.6995	100.91	129.209	106.535	99.3793	50.5267	58.8424	75.9256	1002	83.3425
ade.t01	96.6846	97.1351	91.4339	69.3933	74.1465	93.7062	129.123	143.062	129.24	1767	102.658
adhE.t01	1041.5	1085.61	1726.54	1085.35	1095.91	601.464	257.727	88.6595	257.179	2676	804.439
adhP.t01	52.648	44.2848	46.9808	106.908	109.761	89.5925	61.1038	67.9775	76.7199	1011	72.8863
adiA.t01	88.0889	93.5868	73.1401	83.6008	78.2382	94.4761	100.341	118.094	112.965	2268	93.6146
adiC.t01	67.5087	69.6007	64.678	53.5623	60.3292	75.5442	56.695	98.9874	90.4897	1338	70.8217
adiY.t01	96.9717	108.581	103.888	349.236	375.033	312.693	103.181	108.608	83.5244	762	182.413
adk.t01	282.174	307.753	390.513	370.628	305.099	246.872	155.556	105.265	161.735	645	258.4
aegA.t01	50.4199	50.6511	30.2585	45.8134	44.0542	58.8002	53.2559	59.4005	54.9387	1980	49.7325
aer.t01	78.2545	83.5979	55.2402	68.3155	71.5702	85.3446	89.5522	106.682	103.945	1521	82.5002
aes.t01	73.8413	69.4712	73.8402	56.9029	72.3597	86.5395	68.279	73.9879	71.9278	960	71.9055
afuC.t01	54.1761	52.8198	33.3367	40.527	37.7926	54.4419	51.0771	70.7143	57.691	1047	50.2863
agaB.t01	69.8063	92.3598	71.2871	44.4778	48.6661	64.1033	84.6995	107.19	61.1903	477	71.5311
agaC.t01	66.813	60.4087	64.671	41.7636	45.7152	53.8181	74.5422	94.9515	81.178	804	64.8735
agaD.t01	68.2899	57.1634	54.9741	52.7318	46.63	69.2024	86.7842	94.7229	78.825	792	67.7026
agaI.t01	73.9752	71.3509	52.1183	52.5912	45.8264	68.0716	84.3752	103.133	92.5881	756	71.5589
agaR.t01	86.0773	84.105	86.4037	106.007	101.609	105.557	126.249	118.094	123.451	810	104.173
agaS.t01	67.2679	62.3939	52.8063	50.7672	54.6617	50.1504	70.7578	90.902	80.6092	1155	64.4796
