gene	BB09.rpkm	BB10.rpkm	BB17.rpkm	BB19.rpkm	BB20.rpkm	BB21.rpkm	BB11.rpkm	BB12.rpkm	BB18.rpkm	reflen
thrL.t01	41	37	18	19	9	41	31	163	16	66
thrA.t01	3384	2775	1160	1241	1092	1794	2349	6651	1710	2463
thrB.t01	1191	821	388	537	454	713	878	2434	614	933
thrC.t01	1475	1249	429	479	537	739	1143	3492	722	1287
yaaX.t01	230	255	59	76	74	167	215	726	158	297
yaaA.t01	1121	994	393	326	305	519	741	2418	559	777
yaaJ.t01	1730	1561	467	763	683	893	1443	4185	920	1431
talB.t01	23549	23601	15543	10525	9891	9543	12119	13579	7538	954
mog.t01	1272	1055	635	585	467	636	859	1662	450	588
satP.t01	775	651	303	399	299	540	771	1593	458	567
yaaW.t01	625	564	210	250	183	343	570	1907	346	714
yaaI.t01	362	298	162	122	130	161	245	1008	149	405
dnaK.t01	18223	16098	7848	25379	21242	19778	40182	30478	14459	1917
dnaJ.t01	2437	1842	803	1472	1440	1259	2297	3498	1410	1131
insL1.t01	3681	3321	1269	1212	1208	2273	2705	8502	1901	1113
mokC.t01	65	75	17	31	26	42	55	153	23	210
hokC.t01	108	71	41	29	38	56	102	214	53	153
sokC.r01	0	0	0	0	0	0	0	0	0	55
nhaA.t01	2210	1697	765	1354	1178	1444	1610	3709	1087	1167
nhaR.t01	2493	2247	1015	1963	1783	1762	2393	3412	1138	906
insB1.t01	3739	3627	1568	1464	1463	2319	2309	7245	1925	504
insA.t01	2366	2027	1050	1230	1031	1449	1862	4615	1303	276
rpsT.t01	29617	29181	24113	15533	13532	11401	20764	13176	8064	264
yaaY.t01	179	111	54	102	116	176	196	540	110	219
ribF.t01	1534	1033	524	486	527	751	1105	2721	688	942
ileS.t01	8337	6761	4309	4080	3774	3416	5118	8533	3079	2817
lspA.t01	845	740	377	312	306	349	662	1211	423	495
fkpB.t01	1066	1058	555	523	493	509	600	1406	441	450
ispH.t01	1834	1687	1119	851	739	768	1142	2804	697	951
rihC.t01	1806	1737	1002	794	700	893	1880	2717	707	915
dapB.t01	1229	975	651	739	794	794	1044	2153	623	822
carA.t01	6762	5830	3553	2362	2039	1785	1915	3925	1466	1149
carB.t01	15899	13473	8599	5313	4303	3694	4976	9192	3699	3222
caiF.t01	352	263	115	82	94	138	160	731	159	396
caiE.t01	451	320	120	146	132	381	330	1193	282	591
caiD.t01	585	664	173	198	244	324	651	1755	356	786
caiC.t01	1572	1232	539	473	497	849	1281	3913	791	1554
caiB.t01	1476	1301	753	690	749	1092	1570	3563	853	1218
caiA.t01	1020	962	303	370	374	503	709	2461	537	1143
caiT.t01	1182	1013	368	296	336	758	1086	3781	713	1515
fixA.t01	660	544	174	206	188	401	654	1730	400	771
fixB.t01	764	515	228	224	240	512	791	2240	540	942
fixC.t01	1086	924	248	286	307	674	868	3074	597	1287
fixX.t01	178	150	61	82	39	126	128	536	130	288
yaaU.t01	1229	920	274	359	277	723	936	3170	660	1332
kefF.t01	492	383	156	336	325	346	466	1271	335	531
kefC.t01	1580	1377	494	765	771	986	1279	4252	910	1863
folA.t01	1515	1746	1244	697	568	651	1087	1549	548	480
apaH.t01	1115	1113	513	603	493	659	820	2187	587	843
apaG.t01	1922	2005	1233	1581	1453	1295	1439	1493	766	378
rsmA.t01	2697	2165	1329	1454	1332	1295	1531	2581	1053	822
pdxA.t01	8439	8075	5356	4656	3688	3582	5620	6187	3361	990
surA.t01	4105	3920	2620	2290	2143	2239	3314	4703	2077	1287
lptD.t01	10744	10139	6132	6833	6302	5426	6471	8276	3494	2355
djlA.t01	884	826	289	313	347	451	767	2034	425	816
rluA.t01	495	496	175	241	173	339	540	1343	298	660
rapA.t01	3058	2544	1502	1420	1261	2271	2433	7009	2089	2907
polB.t01	2081	1945	598	2404	2099	2142	3354	6441	1865	2352
araD.t01	506	416	176	165	169	297	429	1659	330	696
araA.t01	1203	1135	480	438	456	684	1002	3671	837	1503
araB.t01	1574	1321	283	458	368	659	1174	4036	795	1701
araC.t01	1372	1351	547	572	521	534	1639	2447	648	879
yabI.t01	631	526	209	212	194	399	598	1860	376	765
thiQ.t01	544	466	161	177	172	362	536	1431	349	699
thiP.t01	1364	1058	425	374	398	740	1018	3571	741	1611
thiB.t01	1410	1258	564	386	345	608	992	2579	665	984
sgrR.t01	2166	1806	848	900	787	985	1402	4348	967	1656
sgrS.r01	239	238	72	163	150	204	531	644	179	227
sgrT.t01	40	45	18	32	16	38	72	164	49	132
setA.t01	1145	912	371	350	314	609	948	2982	564	1179
leuD.t01	583	588	178	262	320	504	792	1433	413	606
leuC.t01	1154	959	409	512	442	778	1021	3322	653	1401
leuB.t01	980	697	216	337	270	540	637	2294	504	1092
leuA.t01	1351	1205	481	436	437	688	1214	3572	840	1572
leuL.t01	60	38	13	24	19	55	123	162	46	87
leuO.t01	954	703	191	212	254	361	744	2213	385	945
ilvI.t01	1563	1222	431	435	426	932	1435	4270	934	1725
ilvH.t01	415	381	97	102	95	208	378	1052	195	492
cra.t01	1370	1095	619	534	558	631	1505	2511	654	1005
mraZ.t01	1506	1241	748	1104	1002	819	2004	1845	714	459
rsmH.t01	2379	2153	1256	1276	1139	1304	1664	2874	929	942
ftsL.t01	1728	1646	845	930	875	951	1355	1894	727	366
ftsI.t01	2284	1895	950	1007	939	1311	1968	4570	1309	1767
murE.t01	2447	2161	1229	1221	1144	1078	1686	3345	1062	1488
murF.t01	2398	2079	1015	1187	987	1089	1896	3376	910	1359
mraY.t01	938	811	299	312	267	489	779	2522	466	1083
murD.t01	1608	1277	493	585	589	787	1205	2959	742	1317
ftsW.t01	1125	969	393	504	386	583	866	2748	568	1245
murG.t01	1205	1048	442	557	514	582	926	2382	542	1068
murC.t01	1556	1328	554	762	623	985	1184	3167	767	1476
ddlB.t01	2055	1810	1043	1317	1427	1177	1875	2515	784	921
ftsQ.t01	1184	1166	635	937	832	892	1196	2012	513	831
ftsA.t01	1601	1346	739	927	756	1172	1340	3149	772	1263
ftsZ.t01	5653	5123	2574	3393	2981	2828	2913	3914	1531	1152
lpxC.t01	8397	8510	5492	5540	4948	4406	7446	8391	3651	918
secM.t01	11320	9435	6600	5766	4983	3730	4689	3346	2183	513
secA.t01	6407	5396	3528	3266	2795	2955	3821	7288	2050	2706
mutT.t01	740	698	296	203	261	229	381	1005	269	390
yacG.t01	219	286	135	112	123	150	174	435	98	198
zapD.t01	1253	1076	682	543	453	499	681	1701	539	744
coaE.t01	1422	1257	829	845	868	607	826	1510	407	621
guaC.t01	7346	5980	3140	1640	1391	1374	1315	2948	833	1044
hofC.t01	1080	822	381	382	319	647	935	2528	570	1203
hofB.t01	1187	908	402	546	344	648	978	3121	657	1386
ppdD.t01	302	271	147	116	74	158	172	825	201	441
nadC.t01	1237	1028	523	433	357	502	768	2184	525	894
ampD.t01	761	870	444	549	441	616	928	1491	354	552
ampE.t01	684	492	218	202	274	389	460	1919	382	855
aroP.t01	1241	966	397	525	484	793	1215	3182	727	1374
pdhR.t01	5459	4868	2169	1006	950	768	1704	2705	1441	765
aceE.t01	25022	21269	14644	6169	6013	4711	10757	11993	7305	2664
aceF.t01	6534	5374	3538	1977	1659	1495	3942	5158	2700	1893
lpd.t01	15284	13625	9330	15303	12902	8545	16903	11525	9416	1425
yacH.t01	1473	1143	440	547	625	843	1349	3906	679	1854
acnB.t01	12988	11496	7870	19562	17158	13525	16555	14384	10354	2598
yacL.t01	1349	1398	910	663	702	639	1295	1494	656	363
speD.t01	4419	4211	2984	1161	1079	1091	2223	2625	1134	795
speE.t01	8767	8854	6000	2886	2528	2019	3494	3781	1690	867
yacC.t01	507	339	260	195	202	204	328	877	197	348
cueO.t01	1374	1164	350	670	544	778	1159	3281	736	1551
gcd.t01	1770	1343	479	1363	1117	1564	1864	4851	1011	2391
hpt.t01	830	689	465	397	302	433	598	1210	362	537
can.t01	55078	54324	35323	41328	41454	32755	33832	26319	18896	663
yadG.t01	2108	1728	1276	1531	1265	1320	1574	2439	757	927
yadH.t01	601	451	124	180	161	319	457	1447	294	771
yadI.t01	316	229	106	153	103	181	311	855	149	441
yadE.t01	1357	1203	639	707	731	863	1033	2529	662	1230
panD.t01	4365	4058	2738	1640	1487	1317	1563	1543	974	381
yadD.t01	895	871	346	394	268	498	840	2016	337	903
panC.t01	1094	983	452	446	511	541	897	1980	533	852
panB.t01	2941	2935	1920	1622	1506	1449	2168	2468	1423	795
yadC.t01	1160	959	344	532	446	678	1261	2947	515	1239
yadK.t01	534	459	138	239	204	365	561	1330	221	597
yadL.t01	405	385	138	127	160	224	373	1423	270	606
yadM.t01	480	341	147	102	94	247	423	1305	223	570
htrE.t01	2194	1580	456	503	481	1066	1617	5439	1002	2598
yadV.t01	549	437	186	166	130	261	555	1628	236	741
yadN.t01	398	355	182	112	105	228	263	1255	260	585
folK.t01	492	454	233	251	218	248	382	940	230	480
pcnB.t01	8464	8312	5845	4530	3644	3016	3210	4389	2080	1398
gluQ.t01	1037	836	495	666	643	809	1006	2049	416	927
dksA.t01	3582	2958	2193	932	832	952	1559	1485	754	456
sfsA.t01	681	636	258	380	384	529	596	1594	393	705
ligT.t01	1739	1929	1009	607	536	600	975	1510	447	531
hrpB.t01	1845	1375	522	657	700	1102	1560	4911	1023	2430
mrcB.t01	5152	5692	4201	2869	2572	2932	4245	7319	2338	2535
fhuA.t01	12164	12118	10398	1085	1127	1084	8159	9646	4598	2244
fhuC.t01	574	528	185	200	177	255	507	1333	350	798
fhuD.t01	892	823	471	224	213	295	640	1817	422	891
fhuB.t01	1467	1079	493	402	352	762	1014	3481	713	1983
hemL.t01	2697	2727	1555	1087	888	957	1774	3281	845	1281
clcA.t01	1178	929	503	686	629	982	1264	2919	564	1422
erpA.t01	486	472	256	240	235	370	412	872	174	345
yadS.t01	467	300	136	158	130	228	407	985	173	624
btuF.t01	1001	892	551	341	317	428	519	1661	363	801
mtn.t01	2251	1881	1095	768	775	782	1157	2010	657	699
dgt.t01	1504	975	482	542	532	786	1006	3047	556	1518
degP.t01	3729	3735	2070	1252	1080	1433	2265	3701	1264	1425
cdaR.t01	961	717	337	319	293	488	681	2327	406	1158
yaeH.t01	615	450	293	398	401	362	843	1126	251	387
yaeI.t01	644	483	173	165	204	333	489	1575	260	813
dapD.t01	1396	1106	568	757	589	591	777	1601	650	825
glnD.t01	3787	3333	1842	2757	2498	2816	3368	6481	2325	2673
map.t01	10222	11390	8210	7676	7364	6656	14496	12430	5863	795
tff.r01	3711	3739	2810	1779	1325	1233	1611	2529	705	136
rpsB.t01	7069	6634	4988	4211	3563	3034	3307	3249	1714	726
tsf.t01	2787	2496	1432	1154	1118	957	1373	2257	724	852
pyrH.t01	1516	1312	815	714	635	599	729	1744	449	726
frr.t01	1364	1100	546	999	753	786	1312	1555	640	558
dxr.t01	1625	1285	627	847	750	844	1489	2568	693	1197
ispU.t01	1387	1242	899	521	621	585	757	1620	395	762
cdsA.t01	1094	958	582	473	498	577	777	2254	529	858
rseP.t01	1866	1578	975	838	993	1018	1507	3524	725	1353
bamA.t01	9522	8831	5586	4804	4737	4992	5246	7576	2933	2433
skp.t01	2075	1826	1142	917	952	959	999	1270	656	486
lpxD.t01	9640	9761	6467	5909	4973	4725	10207	7302	3853	1026
fabZ.t01	899	854	439	435	302	400	638	1069	375	456
lpxA.t01	912	821	493	615	380	475	807	1365	377	789
lpxB.t01	1202	966	427	456	508	543	849	2064	556	1149
rnhB.t01	683	563	259	327	331	362	539	907	251	597
dnaE.t01	3774	2980	1638	1420	1354	1782	2502	6306	1696	3483
accA.t01	1833	1889	1086	733	752	755	1104	2062	599	960
ldcC.t01	1879	1179	608	1909	1620	1730	1941	4005	967	2142
yaeR.t01	1219	1079	828	1280	1419	1074	1002	1055	531	390
tilS.t01	818	656	213	424	354	541	599	2047	410	1299
rof.t01	228	128	49	127	119	135	183	426	97	255
yaeP.t01	202	197	87	250	210	192	416	428	93	201
yaeQ.t01	528	383	162	181	195	240	407	920	174	546
arfB.t01	305	265	158	196	185	251	359	710	164	423
nlpE.t01	534	376	230	417	381	450	488	1301	238	711
yaeF.t01	588	438	187	207	230	393	503	1486	350	825
proS.t01	2437	2109	928	993	945	945	1271	2768	865	1719
tsaA.t01	642	425	178	174	203	321	325	898	187	708
rcsF.t01	2360	2545	1880	1375	1065	1151	1008	1278	666	405
metQ.t01	1148	864	556	756	669	658	816	1569	517	816
metI.t01	1289	1069	786	726	651	657	851	1245	492	654
metN.t01	1117	889	337	394	317	358	645	1461	354	1032
gmhB.t01	470	397	196	275	257	268	602	784	221	576
rrsH.r01	44216	51281	29649	40349	44676	38449	43933	26903	22076	1542
ileV.r01	0	0	0	0	0	0	0	0	0	77
alaV.r01	0	0	0	0	0	0	0	0	0	76
rrlH.r01	100680	88124	61067	59009	52378	45601	45145	30552	28414	2904
rrfH.r01	0	0	0	0	0	0	0	0	0	120
aspU.r01	0	0	0	0	0	0	0	0	0	77
dkgB.t01	646	565	291	265	387	444	423	1240	177	804
yafC.t01	726	608	301	294	219	320	559	1511	289	915
yafD.p01	0	0	0	0	0	0	0	0	0	801
yafD.t01	758	468	199	473	507	475	651	1302	383	801
yafE.t01	527	349	274	320	287	309	597	1194	299	624
mltD.t01	4847	4436	2604	2335	2129	2107	3786	4668	1675	1359
gloB.t01	1270	1159	733	1025	958	1028	1188	1594	472	756
yafS.t01	752	506	318	409	385	522	649	1441	306	723
rnhA.t01	468	399	255	194	140	200	337	779	186	468
dnaQ.t01	2438	2431	1627	2717	2509	2053	2430	2373	1041	732
aspV.r01	0	0	0	0	0	0	0	0	0	77
yafT.t01	899	653	372	528	483	842	1016	2055	402	786
ykfM.t01	230	243	82	113	68	120	265	923	145	480
yafV.t01	648	425	134	235	230	503	351	1431	330	771
ivy.t01	325	269	112	389	340	415	324	851	155	474
fadE.t01	1755	1231	578	1675	1563	1559	2816	4793	1631	2445
gmhA.t01	2482	1882	1111	1009	1094	792	873	1503	748	579
yafJ.t01	2890	2886	1780	1948	1746	1524	2242	2330	1195	768
yafK.t01	1424	1134	718	619	510	664	731	1373	365	741
yafQ.t01	1045	901	632	915	808	854	759	950	465	279
dinJ.t01	940	863	483	1118	922	937	883	772	432	261
yafL.t01	621	393	109	158	198	250	390	1390	249	750
rayT.t01	537	438	226	162	260	188	475	1100	207	498
dinB.t01	973	856	323	2676	2473	1768	2050	2880	1138	1056
yafN.t01	362	317	166	558	512	500	421	845	196	294
yafO.t01	489	407	164	648	655	552	646	1045	228	399
yafP.t01	592	461	284	831	713	808	961	1322	347	453
pepD.t01	9400	9267	6039	6097	5140	4560	5707	6010	2537	1458
gpt.t01	4768	5134	4061	1758	1545	1718	1398	2737	1102	459
frsA.t01	1348	1114	540	632	451	704	935	2809	674	1245
phoE.t01	1025	812	277	366	383	655	992	2895	557	1056
proB.t01	1314	991	364	465	446	560	787	2749	480	1104
proA.t01	2554	2174	1120	1171	897	1085	1370	2711	843	1254
thrW.r01	2860	3234	1692	2912	2152	1983	3349	2283	1086	76
ykfI.t01	331	277	61	65	89	189	207	726	126	342
yafW.t01	272	172	76	59	53	113	199	748	124	318
ykfH.t01	252	117	69	52	34	74	104	423	126	222
ykfG.t01	342	283	97	105	83	194	208	785	140	477
yafX.t01	540	403	199	210	157	221	362	976	255	459
ykfF.t01	190	89	47	24	40	44	116	428	63	240
ykfB.t01	1800	1846	1038	1649	1594	1844	2038	2359	1145	468
yafY.t01	595	576	355	211	229	339	389	931	211	444
yafZ.t01	627	515	170	192	166	359	411	1690	393	822
ykfA.t01	699	705	299	320	269	417	602	1756	348	864
perR.t01	1418	1338	675	554	431	716	929	2694	470	894
insI1.t01	3775	3295	1489	1276	1588	2329	3005	10469	1888	1152
eyeA.r01	31	40	21	18	21	20	45	129	23	75
insH1.t01	36374	33578	18142	14008	12406	12352	18151	31784	9871	1017
mmuP.t01	1206	1145	381	375	386	773	917	3366	577	1404
mmuM.t01	744	612	320	218	286	359	544	1812	370	933
afuC.t01	925	772	194	254	225	494	638	2411	447	1047
insB1.t01	0	0	0	0	0	0	0	0	0	504
insA.t01	0	0	0	0	0	0	0	0	0	276
yagA.t01	871	713	232	207	255	455	633	2420	474	1155
yagE.t01	1012	937	433	319	258	453	662	2053	501	909
yagF.t01	1975	1811	819	633	679	797	1512	3880	1006	1968
yagG.t01	1035	933	348	379	321	597	700	2714	547	1383
yagH.t01	1236	895	369	348	363	659	817	3056	556	1611
yagI.t01	1547	1246	818	658	602	636	871	1687	533	759
argF.t01	794	739	198	254	255	423	612	2184	404	1005
insB1.t01	0	0	0	0	0	0	0	0	0	504
insA.t01	0	0	0	0	0	0	0	0	0	276
yagK.t01	685	619	182	165	212	365	541	1834	343	627
yagL.t01	789	718	219	141	142	444	524	1755	302	699
yagM.t01	801	683	221	152	165	506	566	2367	331	855
yagN.t01	5098	5443	4353	6638	5813	5944	10767	7702	3603	441
intF.t01	4122	3469	1986	2192	2014	2298	3955	5969	1587	1401
ptwF.r01	0	0	0	0	0	0	0	0	0	49
paoD.t01	843	638	249	249	252	555	642	2405	510	957
paoC.t01	2167	1517	520	800	678	1301	1586	5616	1195	2199
paoB.t01	796	694	223	270	297	548	536	2206	600	957
paoA.t01	581	545	143	227	209	374	479	1887	457	690
yagU.t01	871	673	208	412	340	477	706	1908	360	615
ykgJ.t01	398	368	162	122	153	166	241	896	179	330
ecpE.t01	717	682	294	235	221	471	407	1793	328	711
ecpD.t01	1932	1576	676	727	656	1295	1268	4556	855	1644
ecpC.t01	2716	2308	728	724	878	1607	2094	7149	1241	2526
ecpB.t01	663	495	183	202	119	382	519	1518	328	669
ecpA.t01	629	519	180	189	143	330	532	1530	339	588
ecpR.t01	735	592	119	174	149	332	585	1581	299	591
ykgL.t01	243	210	56	53	82	104	156	541	92	228
ykgO.t01	121	116	17	18	22	43	84	349	62	141
ykgM.t01	289	234	94	44	83	158	211	621	109	264
ykgR.t01	78	48	26	14	30	65	116	196	26	102
insE1.t01	1622	1251	501	467	432	801	938	3191	703	300
insF1.t01	4055	3518	986	1273	1194	2358	2711	9601	1992	867
rclC.t01	697	634	190	160	155	352	394	1671	298	594
rclB.t01	267	195	98	78	44	126	221	571	104	237
rclA.t01	1683	1344	352	573	597	903	1265	4134	665	1326
rclR.t01	1020	815	322	362	351	559	727	2408	425	855
ykgE.t01	1301	1115	558	697	635	801	722	2044	377	720
ykgF.t01	2069	1768	657	715	689	1185	1311	3919	648	1428
ykgG.t01	823	640	364	296	329	488	578	2028	399	696
ykgH.t01	725	659	323	167	147	431	609	2170	300	669
betA.t01	2107	1621	587	584	675	1093	1879	4963	1192	1671
betB.t01	2020	1853	810	1143	916	1276	2510	4702	1858	1473
betI.t01	868	603	253	418	366	473	1196	1859	655	588
betT.t01	2438	1956	730	785	781	1427	2134	6251	1451	2034
yahA.t01	1461	1292	448	380	341	822	954	3427	605	1089
yahB.t01	1350	1206	508	570	465	876	1160	2863	516	933
yahC.t01	536	510	146	172	188	369	404	1534	292	498
yahD.t01	697	670	289	173	228	419	449	1812	328	606
yahE.t01	1071	861	314	254	260	617	583	2509	471	864
yahF.t01	1748	1326	440	388	423	1057	1119	4402	889	1548
yahG.t01	1525	1262	333	453	423	788	1051	3965	760	1419
yahI.t01	984	875	265	324	246	575	717	2714	482	951
yahJ.t01	1791	1502	520	590	497	983	1247	3643	924	1383
yahK.t01	1242	1140	404	2037	2047	2199	1355	3393	793	1050
yahL.t01	947	950	318	204	236	523	635	2373	351	816
yahM.t01	301	289	86	72	54	193	212	656	110	246
yahN.t01	818	760	199	198	239	505	571	1921	432	672
yahO.t01	1437	1440	814	19673	21128	22135	18088	9945	3474	276
prpR.t01	1862	1513	520	729	625	1335	1820	4519	856	1587
prpB.t01	936	786	249	266	279	493	776	2439	534	891
prpC.t01	1277	1000	330	386	364	820	918	3228	680	1170
prpD.t01	1630	1321	390	426	496	953	1004	3983	811	1452
prpE.t01	2089	1715	509	598	502	1176	1447	4851	1185	1887
codB.t01	2109	1653	525	691	531	1040	1425	3891	1242	1260
codA.t01	4579	4299	2409	2148	1648	1832	4513	5929	3527	1284
cynR.t01	1052	932	325	338	311	584	699	2753	565	900
cynT.t01	768	749	222	189	228	393	443	1842	424	660
cynS.t01	587	436	196	176	97	279	486	1414	255	471
cynX.t01	1116	1059	360	311	346	608	900	3223	608	1155
lacA.t01	812	874	284	200	220	447	495	1846	334	612
lacY.t01	1815	1610	541	376	486	909	1306	4133	686	1254
lacZ.t01	4637	4292	1945	1107	1074	2425	3044	8618	1797	3075
lacI.t01	2203	2007	1356	1101	1056	1628	2831	4355	1724	1083
mhpR.t01	960	767	251	506	413	641	1095	2529	699	834
mhpA.t01	1771	1694	457	555	615	1102	1223	4481	881	1665
mhpB.t01	1000	833	293	369	195	599	576	2370	608	945
mhpC.t01	1088	825	254	217	318	630	593	2652	552	867
mhpD.t01	926	802	129	265	264	480	656	2098	469	810
mhpF.t01	1084	820	379	352	321	610	812	2715	538	951
mhpE.t01	1095	936	280	415	349	656	901	2789	669	1014
mhpT.t01	1268	1135	422	468	473	775	990	3268	687	1212
yaiL.t01	742	730	230	187	263	401	518	1520	304	540
frmB.t01	2138	2136	1110	653	533	754	1096	2874	482	834
frmA.t01	3173	2710	1480	936	1025	1154	1387	3306	800	1110
frmR.t01	823	594	334	237	245	232	273	793	161	276
yaiO.t01	982	853	303	253	248	537	577	2106	484	774
insC1.t01	2644	2242	889	962	800	1366	2172	5981	1391	366
insD1.t01	8051	7539	3286	2691	2474	3820	6220	17394	3708	906
yaiP.t01	1474	1253	451	380	414	879	925	3702	675	1197
yaiS.t01	673	629	195	160	144	364	474	1674	281	558
tauA.t01	1071	963	251	306	341	629	741	2597	505	963
tauB.t01	685	694	193	247	153	409	626	1897	426	768
tauC.t01	820	629	187	239	205	418	599	2204	440	828
tauD.t01	955	863	228	339	321	571	819	2691	474	852
hemB.t01	5771	5519	3531	2908	2823	2195	2880	3859	1559	975
insF1.t01	0	0	0	0	0	0	0	0	0	867
insE1.t01	0	0	0	0	0	0	0	0	0	300
yaiV.t01	731	752	234	167	133	394	480	1826	348	624
ampH.t01	1366	1293	738	495	360	811	1139	3269	644	1158
sbmA.t01	1389	1469	490	581	589	794	1090	3557	757	1221
yaiW.t01	1494	1447	477	539	624	921	1115	3067	640	1095
yaiY.t01	262	247	81	93	79	199	290	717	164	309
yaiZ.t01	446	436	264	347	295	308	1227	1111	308	213
ddlA.t01	2525	2121	1069	861	670	1040	1782	3481	795	1095
iraP.t01	725	686	365	588	516	628	1236	1278	289	261
phoA.t01	2061	2011	868	713	736	1145	1719	4273	1188	1416
psiF.t01	418	408	118	826	816	722	1200	1490	379	321
yaiC.t01	1347	1076	296	445	329	752	833	2943	538	1116
proC.t01	1252	1026	474	644	705	938	1024	2350	613	810
yaiI.t01	564	634	270	258	214	348	381	1268	367	459
aroL.t01	666	686	223	337	230	456	738	1642	451	525
yaiA.t01	258	225	64	657	580	838	1151	1355	319	192
aroM.t01	936	846	314	386	283	576	662	1999	360	678
yaiE.t01	533	512	229	256	283	301	450	888	234	285
rdgC.t01	2158	2146	1344	731	922	967	1110	2947	758	912
mak.t01	1066	941	318	449	456	757	814	2666	571	909
araJ.t01	1517	1398	376	448	386	875	1033	3486	723	1185
sbcC.p01	0	0	0	0	0	0	0	0	0	3147
sbcC.t01	4436	4032	1455	1403	1422	2293	2986	9019	1965	3147
sbcD.p01	0	0	0	0	0	0	0	0	0	1203
sbcD.t01	1842	1636	624	546	551	967	1300	3178	793	1203
phoB.t01	730	661	220	237	216	448	616	1823	425	690
phoR.t01	1408	1244	549	480	543	853	1070	3500	763	1296
brnQ.t01	1490	1458	427	551	578	812	1103	3581	772	1320
proY.t01	1812	1473	487	641	539	933	1272	3667	915	1374
malZ.t01	2006	2058	684	763	681	1242	1447	4528	1234	1815
acpH.t01	745	681	272	400	392	593	859	1669	410	582
queA.t01	1404	1302	474	433	471	754	880	2926	700	1071
tgt.t01	5095	4542	2318	1737	1757	2163	3073	4729	1515	1128
yajC.t01	7706	7192	3916	2710	2630	3310	6724	6631	2585	333
secD.t01	3221	3171	1433	1156	980	1624	2292	5549	1227	1848
secF.t01	2190	1799	962	762	700	991	1525	2877	753	972
yajD.t01	1264	1201	947	888	793	818	1476	1815	582	348
tsx.t01	2527	2401	1514	875	700	889	1584	2861	797	885
yajI.t01	842	965	291	621	550	711	706	1648	388	540
nrdR.t01	1394	1278	773	563	590	645	697	1412	432	450
ribD.t01	2316	2165	1207	952	887	1239	1436	3152	969	1104
ribE.t01	1410	1331	599	558	492	639	798	1483	502	471
nusB.t01	498	525	225	190	168	295	417	1101	239	420
thiL.t01	1599	1746	766	611	563	775	951	2605	751	978
pgpA.t01	544	462	204	262	262	370	524	1388	290	519
yajO.t01	1190	1107	452	1112	947	1090	1138	2598	685	975
dxs.t01	6719	6490	4044	3162	2775	2828	3949	6329	2115	1863
ispA.t01	3957	3571	2091	1574	1476	1485	1629	2973	1210	900
xseB.p01	0	0	0	0	0	0	0	0	0	243
xseB.t01	1924	1982	1752	1159	970	1122	2369	1985	979	243
thiI.t01	4040	4112	2498	1380	1130	1505	1856	4195	1222	1449
yajL.t01	532	514	173	194	165	295	392	1288	240	591
panE.t01	1262	1307	580	486	428	709	938	2461	514	912
yajQ.t01	1198	847	540	446	415	605	840	1390	400	492
yajR.t01	1724	1412	572	470	435	906	1200	3521	777	1365
cyoE.t01	2225	2042	1286	1212	1063	1106	1996	3191	989	891
cyoD.t01	688	587	235	247	148	282	279	1000	282	330
cyoC.t01	8060	8594	5644	3870	3538	2985	4319	4455	1893	615
cyoB.t01	13590	11918	8461	7240	6495	5091	6136	7870	4059	1992
cyoA.t01	16038	16608	13887	13795	12704	9238	13221	9874	5880	948
ampG.t01	2298	2099	972	845	619	1142	1176	3869	1016	1476
yajG.t01	6331	6584	4902	3116	2526	2408	3205	3598	1359	579
bolA.t01	401	370	240	833	866	1005	1490	1226	389	318
tig.t01	14980	14063	8622	4514	4555	4089	5499	6714	2738	1299
clpP.t01	1478	1452	549	927	778	1033	1140	2010	618	624
clpX.t01	3134	2827	1524	2687	2499	2417	3319	4204	1383	1275
lon.t01	7818	6460	3703	3870	4150	3776	6148	8522	3258	2355
hupB.t01	2628	2249	1565	1302	1353	922	1901	1442	910	273
ppiD.t01	31034	37039	25372	8617	8647	9610	11117	14661	5828	1872
ybaV.t01	375	378	123	119	93	220	234	706	238	372
fadM.t01	433	377	80	149	135	326	380	967	200	399
queC.t01	925	818	284	203	226	415	457	1749	285	696
ybaE.t01	2245	2171	941	773	729	1266	2251	4267	1192	1701
cof.t01	1687	1705	956	845	841	1000	1206	2321	647	819
ybaO.t01	576	608	280	335	229	434	450	1282	213	459
mdlA.t01	2109	1841	663	685	600	1215	1312	4047	970	1773
mdlB.t01	1955	1574	562	545	500	1127	1175	4036	815	1782
glnK.t01	365	286	139	333	251	415	334	890	293	339
amtB.t01	1141	932	323	592	496	919	887	2917	633	1287
tesB.t01	1148	918	360	425	431	649	816	2140	491	861
ybaY.t01	954	1035	462	11925	10593	10113	4633	3358	1554	573
ybaZ.t01	407	326	83	130	159	247	242	915	230	390
ffs.r01	178	162	71	109	50	80	317	396	113	114
ybaA.t01	409	293	135	127	121	210	294	963	183	354
ylaB.t01	2833	2788	1310	1513	1401	2098	2325	5406	1178	1551
ylaC.t01	1960	2087	1174	1571	1139	1178	1413	1951	640	471
maa.t01	3387	3611	2944	1796	1558	1506	1360	2120	843	552
hha.t01	544	571	330	534	437	502	463	818	293	219
tomB.t01	834	769	327	686	698	854	711	964	296	375
acrB.t01	4640	4122	1833	1770	1705	2489	2931	7719	1759	3150
acrA.t01	3917	3709	2279	1854	1787	1827	1893	3735	1046	1194
